order_id,product_id,user_id,order_date,return_date,product_category,product_price,order_quantity,return_reason,return_status,days_to_return,user_age,user_gender,user_location,payment_method,shipping_method,discount_applied
ORD00000000,PROD00000000,USER00000000,2023-08-05,2024-08-26,Clothing,411.59,3,Changed mind,Returned,387.0,58,Male,City54,Debit Card,Next-Day,45.27
ORD00000001,PROD00000001,USER00000001,2023-10-09,2023-11-09,Books,288.88,3,Wrong item,Returned,31.0,68,Female,City85,Credit Card,Express,47.79
ORD00000005,PROD00000005,USER00000005,2024-02-14,2024-09-22,Electronics,252.12,1,Defective,Returned,221.0,46,Female,City47,Debit Card,Next-Day,47.61
ORD00000006,PROD00000006,USER00000006,2023-05-29,2023-08-03,Clothing,382.89,2,Wrong item,Returned,66.0,25,Male,City50,Credit Card,Express,28.49
ORD00000007,PROD00000007,USER00000007,2023-02-09,2024-08-01,Electronics,306.39,3,Not as described,Returned,539.0,67,Female,City39,Credit Card,Express,38.91
ORD00000008,PROD00000008,USER00000008,2024-12-25,2024-09-25,Home,302.4,5,Defective,Returned,-91.0,54,Male,City81,Debit Card,Standard,18.5
ORD00000009,PROD00000009,USER00000009,2023-03-10,2024-01-21,Clothing,294.94,3,Not as described,Returned,317.0,44,Male,City82,Credit Card,Standard,45.21
ORD00000015,PROD00000015,USER00000015,2024-10-02,2023-12-04,Electronics,370.08,2,Wrong item,Returned,-303.0,24,Female,City27,Credit Card,Standard,23.99
ORD00000017,PROD00000017,USER00000017,2023-02-03,2023-06-03,Electronics,400.12,1,Defective,Returned,120.0,33,Male,City33,PayPal,Standard,18.25
ORD00000018,PROD00000018,USER00000018,2024-10-07,2023-03-18,Books,358.31,1,Changed mind,Returned,-569.0,51,Female,City43,PayPal,Standard,11.84
ORD00000019,PROD00000019,USER00000019,2024-07-06,2024-05-01,Electronics,227.94,5,Changed mind,Returned,-66.0,50,Female,City64,Debit Card,Express,43.86
ORD00000021,PROD00000021,USER00000021,2024-02-28,2023-01-06,Books,85.69,2,Changed mind,Returned,-418.0,30,Female,City26,Debit Card,Standard,24.58
ORD00000022,PROD00000022,USER00000022,2024-07-13,2023-09-13,Books,227.2,5,Wrong item,Returned,-304.0,65,Female,City90,Gift Card,Next-Day,27.94
ORD00000023,PROD00000023,USER00000023,2024-07-01,2024-01-24,Electronics,57.14,2,Wrong item,Returned,-159.0,41,Female,City28,Gift Card,Standard,43.06
ORD00000028,PROD00000028,USER00000028,2024-05-15,2024-09-05,Toys,106.6,5,Defective,Returned,113.0,53,Male,City69,Credit Card,Standard,18.42
ORD00000033,PROD00000033,USER00000033,2024-02-03,2023-08-18,Home,335.28,4,Wrong item,Returned,-169.0,18,Male,City20,Debit Card,Next-Day,25.37
ORD00000036,PROD00000036,USER00000036,2024-01-07,2023-08-29,Electronics,115.82,5,Defective,Returned,-131.0,54,Female,City43,Credit Card,Express,23.76
ORD00000037,PROD00000037,USER00000037,2023-02-11,2024-05-10,Clothing,246.15,1,Wrong item,Returned,454.0,31,Female,City62,Gift Card,Standard,23.63
ORD00000039,PROD00000039,USER00000039,2024-10-27,2024-10-19,Toys,266.34,4,Wrong item,Returned,-8.0,44,Female,City60,PayPal,Standard,30.88
ORD00000041,PROD00000041,USER00000041,2024-01-03,2023-01-15,Books,334.27,4,Changed mind,Returned,-353.0,69,Male,City81,PayPal,Express,43.44
ORD00000043,PROD00000043,USER00000043,2024-05-23,2024-06-05,Clothing,105.7,3,Wrong item,Returned,13.0,44,Male,City41,Credit Card,Next-Day,42.07
ORD00000045,PROD00000045,USER00000045,2023-11-15,2023-02-05,Toys,294.18,2,Changed mind,Returned,-283.0,69,Male,City89,Gift Card,Next-Day,32.7
ORD00000046,PROD00000046,USER00000046,2023-05-22,2024-03-09,Home,97.31,2,Changed mind,Returned,292.0,53,Female,City49,Debit Card,Next-Day,10.96
ORD00000047,PROD00000047,USER00000047,2024-10-23,2024-03-22,Home,335.96,2,Wrong item,Returned,-215.0,63,Male,City5,Credit Card,Standard,19.05
